month,lat_bin,lon_bin,count,mean_frp,h_share
2019-09,-37.5,144.1,1,0.8,0.0
2019-09,-37.5,145.7,1,0.3,0.0
2019-09,-37.5,147.3,3,2.2666666666666666,0.0
2019-09,-37.5,147.5,177,9.25819209039548,0.07909604519774012
2019-09,-37.5,147.7,44,17.520454545454545,0.11363636363636363
2019-09,-37.5,147.9,227,13.222907488986785,0.1013215859030837
2019-09,-37.5,148.1,103,10.223300970873787,0.10679611650485436
2019-09,-37.5,148.3,41,3.6707317073170733,0.04878048780487805
2019-09,-37.3,140.5,2,31.8,0.0
2019-09,-37.3,140.7,1,1.6,0.0
2019-09,-37.3,141.5,20,20.625,0.0
2019-09,-37.3,142.1,3,3.0,0.0
2019-09,-37.3,143.5,3,7.566666666666666,0.0
2019-09,-37.3,144.3,1,3.2,0.0
2019-09,-37.3,144.5,2,3.4,0.0
2019-09,-37.3,144.7,1,2.1,0.0
2019-09,-37.3,144.9,1,0.9,0.0
2019-09,-37.3,145.5,2,0.30000000000000004,0.0
2019-09,-37.3,147.7,2,3.3,0.0
2019-09,-37.3,147.9,220,9.722727272727273,0.06363636363636363
2019-09,-37.3,148.1,2,4.7,0.0
2019-09,-37.3,148.3,39,5.435897435897436,0.0
2019-09,-37.3,148.5,47,6.12127659574468,0.0425531914893617
2019-09,-37.1,139.9,1,0.2,0.0
2019-09,-37.1,140.1,1,3.5,0.0
2019-09,-37.1,140.9,1,1.0,0.0
2019-09,-37.1,141.1,1,17.0,0.0
2019-09,-37.1,141.7,2,4.85,0.0
2019-09,-37.1,141.9,3,5.333333333333333,0.3333333333333333
2019-09,-37.1,144.9,1,0.8,0.0
2019-09,-37.1,145.5,3,2.5666666666666664,0.0
2019-09,-37.1,148.5,4,1.4500000000000002,0.0
2019-09,-37.1,148.7,1,3.2,0.0
2019-09,-37.1,148.9,1,3.6,0.0
2019-09,-37.1,149.9,1,9.2,0.0
2019-09,-36.9,140.1,1,0.9,0.0
2019-09,-36.9,140.9,1,1.2,0.0
2019-09,-36.9,142.5,2,4.2,0.0
2019-09,-36.9,143.1,1,1.4,0.0
2019-09,-36.9,143.3,3,7.7,0.3333333333333333
2019-09,-36.9,145.9,1,8.6,0.0
2019-09,-36.9,147.9,4,4.825,0.0
2019-09,-36.9,148.5,1,2.1,0.0
2019-09,-36.7,139.9,1,0.6,0.0
2019-09,-36.7,140.1,3,11.333333333333334,0.0
2019-09,-36.7,141.1,1,1.7,0.0
2019-09,-36.7,144.5,2,0.7,0.0
2019-09,-36.7,145.7,2,7.3999999999999995,0.0
2019-09,-36.7,146.3,1,1.5,0.0
2019-09,-36.7,146.9,1,2.8,0.0
2019-09,-36.7,147.3,1,0.3,0.0
2019-09,-36.5,140.9,1,0.5,0.0
2019-09,-36.5,142.1,2,1.2,0.0
2019-09,-36.5,143.3,1,0.3,0.0
2019-09,-36.5,143.5,2,5.1,0.0
2019-09,-36.5,144.5,1,2.8,0.0
2019-09,-36.5,144.7,1,1.2,0.0
2019-09,-36.5,145.3,1,0.5,0.0
2019-09,-36.5,146.5,1,1.9,0.0
2019-09,-36.5,146.9,4,4.55,0.0
2019-09,-36.5,147.3,25,2.9760000000000004,0.0
2019-09,-36.3,144.5,1,52.3,0.0
2019-09,-36.3,144.9,1,2.1,0.0
2019-09,-36.3,145.1,2,0.9500000000000001,0.0
2019-09,-36.3,146.5,1,3.4,0.0
2019-09,-36.3,146.7,1,2.9,0.0
2019-09,-36.3,147.5,1,0.4,0.0
2019-09,-36.3,147.7,7,4.071428571428571,0.0
2019-09,-36.3,149.1,2,4.7,0.0
2019-09,-36.1,140.3,1,0.8,0.0
2019-09,-36.1,141.3,1,3.4,0.0
2019-09,-36.1,143.5,12,3.0666666666666664,0.0
2019-09,-36.1,143.7,16,4.60625,0.0
2019-09,-36.1,146.9,3,4.833333333333333,0.0
2019-09,-36.1,147.1,2,3.15,0.0
2019-09,-36.1,147.3,1,2.2,0.0
2019-09,-36.1,147.9,1,1.5,0.0
2019-09,-35.9,139.5,1,2.2,0.0
2019-09,-35.9,143.7,3,2.6999999999999997,0.0
2019-09,-35.9,144.1,1,10.3,1.0
