latitude,longitude,acq_date,acq_time,confidence,frp
-15.2076,127.59914,20/11/2019,1736,n,16.8
-29.36241,152.38754,19/11/2019,1436,n,0.9
-30.70855,147.56425,26/10/2019,412,h,112.3
-15.89871,134.43752,13/10/2019,500,n,9.4
-18.19364,145.39894,14/12/2019,354,n,8.0
-34.28401,150.49693,18/12/2019,1536,n,0.6
-34.08342,149.96219,13/12/2019,412,n,8.3
-30.76869,119.76701,14/12/2019,536,h,20.4
-37.41962,148.39969,01/01/2020,312,n,4.2
-21.41447,139.94554,26/12/2019,1624,n,1.2
-37.65513,147.75789,30/12/2019,1512,n,4.5
-11.71066,142.39992,19/09/2019,414,n,3.3
-16.58158,123.84794,10/09/2019,436,h,28.4
-33.0962,150.34503,11/09/2019,306,n,5.7
-23.46077,138.12276,21/11/2019,430,l,7.8
-35.90855,147.57198,30/12/2019,354,n,94.9
-29.20834,152.32085,26/11/2019,248,h,12.6
-32.88517,150.15796,17/12/2019,1554,n,2.6
-33.03901,150.57581,13/11/2019,1454,n,2.1
-29.12009,153.17216,14/11/2019,1430,n,0.9
-30.71226,119.73625,12/12/2019,612,l,14.1
-15.59299,127.1029,27/10/2019,542,n,8.8
-12.0265,136.37659,29/09/2019,427,l,5.9
-29.2196,151.40154,14/11/2019,1430,n,3.0
-29.1239,152.68491,10/09/2019,254,n,9.2
-29.87521,152.16379,24/09/2019,1352,n,2.9
-13.0927,133.65976,13/12/2019,418,n,4.6
-30.74238,152.38605,15/11/2019,1412,n,1.8
-16.74638,122.86156,08/10/2019,504,n,5.9
-25.80836,129.77519,24/12/2019,1524,n,8.1
-33.19323,150.1277,28/12/2019,430,n,40.7
-28.62473,128.67076,27/12/2019,1606,n,4.0
-11.48511,142.2679,17/10/2019,348,l,3.8
-12.80884,135.74944,21/10/2019,412,n,34.9
-14.16409,133.49611,10/11/2019,1648,n,8.6
-28.33898,152.60898,13/11/2019,336,n,4.3
-23.82836,151.15085,26/11/2019,1548,n,0.9
-32.85187,150.23196,14/12/2019,1512,n,0.9
-31.40517,152.17737,11/09/2019,312,n,5.1
-31.59878,152.07433,01/01/2020,1430,n,3.5
-32.39589,121.34349,01/01/2020,1612,n,0.9
-15.50351,143.99203,11/12/2019,400,n,33.2
-33.81195,150.25029,13/12/2019,1530,n,1.4
-32.70414,150.47855,12/09/2019,348,l,29.1
-18.41118,144.69962,12/09/2019,348,l,13.5
-33.08305,149.82948,20/12/2019,1500,n,1.5
-31.67179,152.15268,15/11/2019,254,n,3.4
-12.76362,141.88434,08/11/2019,445,h,9.7
-12.82667,132.73201,09/09/2019,402,n,4.9
-32.30022,121.65161,19/12/2019,1700,n,1.6
-16.21941,128.37184,21/12/2019,506,n,10.0
-33.17487,150.51984,11/12/2019,1512,n,1.3
-32.81549,150.18903,19/12/2019,400,h,23.2
-28.93165,152.29147,09/12/2019,1416,n,5.3
-28.79558,152.38591,18/12/2019,418,n,3.8
-12.50221,136.64597,11/12/2019,400,l,2.8
